"x","y","id"
-73.97696826,40.72375214,4
-74.01556351,40.70294583,12
-74.01607915,40.71203816,13
-73.96547951,40.80197049,24
-73.951292,40.80433395,41
-73.94077167,40.81825786,42
-73.96555356,40.7824781,43
-73.9981515,40.71245931,45
-73.98984464,40.76225275,48
-73.99513522,40.76623772,50
-73.99991742,40.74842755,68
-73.93734561,40.80116948,74
-73.94575027,40.79001075,75
-73.98593746,40.72762019,79
-74.00749598,40.70680845,87
-74.01151503,40.7033579,88
-73.99697142,40.74227863,90
-73.9887866,40.75351276,100
-74.04528829,40.6898601,103
-74.04077077,40.69876867,103
-74.01907273,40.68878424,103
-73.98405213,40.73682406,107
-73.99430477,40.73257907,113
-73.99738026,40.72834039,114
-73.94852173,40.82701266,116
-73.9301822,40.84666775,120
-74.00748582,40.72629041,125
-73.91930824,40.866075,127
-73.92436982,40.87237881,128
-73.97649472,40.74043898,137
-73.95473878,40.76548409,140
-73.95963474,40.76694821,141
-73.98153221,40.77363329,142
-73.98764555,40.77596523,143
-73.99691854,40.72088889,144
-73.99089626,40.71893836,148
-73.96816833,40.79796199,151
-73.95378224,40.81797515,152
-73.91037867,40.8759678,153
-74.00898411,40.7350354,158
-73.97769793,40.75802804,161
-73.97235594,40.75668765,162
-73.97756868,40.76442141,163
-73.98515639,40.74857463,164
-73.9617636,40.80945696,166
-73.9784916,40.74774579,170
-73.99243754,40.74849718,186
-73.9245963,40.79100078,194
-73.94995171,40.76189975,202
-74.00366456,40.70907274,209
-74.00153757,40.72388811,211
-73.97659767,40.73182064,224
-73.9651458,40.75672894,229
-73.98419649,40.75981762,230
-74.00787971,40.71777274,231
-73.98302456,40.71473251,232
-73.97044257,40.74991408,233
-73.99045782,40.74033744,234
-73.9570117,40.78043644,236
-73.96563454,40.76861518,237
-73.9730489,40.79170493,238
-73.97863195,40.78396143,239
-73.93283149,40.85710828,243
-73.94139911,40.84170877,244
-74.00401513,40.75330906,246
-74.00287496,40.73457601,249
-74.01302277,40.70913894,261
-73.94651036,40.7759324,262
-73.95100987,40.77876585,263
